id_trans,id_wallet,fecha,tipo_operacion,monto,moneda,descripcion
1,15,2024-11-21,staking,4497.62,BNB,Dolor distinctio tenetur esse tenetur distinctio deleniti.
2,25,2022-11-22,transferencia,222.89,ETH,Totam possimus provident id dolores eum eligendi.
3,56,2024-05-17,compra,2600.08,SOL,Officiis est facere sunt iure rem quam.
4,104,2023-10-03,retiro,3434.60,ETH,Fuga impedit natus dolore corporis.
5,95,2023-07-03,venta,1821.74,ETH,Vel neque impedit corrupti ex fugit rerum.
6,9,2024-07-07,transferencia,3116.15,SOL,Omnis placeat ducimus reprehenderit vitae odit laudantium.
7,85,2023-02-09,compra,3599.05,SOL,Cumque quam laborum totam molestiae odit.
8,39,2022-08-23,retiro,1547.11,BTC,Alias sed veniam pariatur quisquam impedit sapiente.
9,53,2023-05-18,transferencia,2012.60,ETH,Provident ab magni fuga.
10,38,2025-01-07,retiro,637.31,BNB,Totam omnis accusamus minus illum accusantium quam modi.
11,54,2023-08-12,staking,3386.91,BNB,Magnam praesentium inventore.
12,116,2023-02-26,venta,3077.96,BTC,Ullam minima dolores nulla.
13,39,2023-06-20,staking,2740.14,BTC,Eaque id fuga illo natus voluptatibus.
14,1,2023-05-09,transferencia,1435.28,ETH,Placeat sed officiis similique quis.
15,56,2022-10-16,retiro,3033.70,SOL,Fugit mollitia animi ab cupiditate libero.
16,42,2024-03-28,staking,2209.49,BTC,Natus similique atque minus aliquam distinctio.
17,87,2025-05-03,venta,2556.36,BTC,Labore aliquid asperiores unde tempore natus adipisci.
18,102,2023-09-24,venta,3294.59,ETH,Vero nesciunt quibusdam.
19,37,2024-02-01,retiro,3319.61,USDT,Error natus necessitatibus sed.
20,80,2025-04-09,transferencia,467.84,SOL,Ex quidem consequuntur voluptates quam magnam voluptate.
21,97,2022-08-15,venta,3364.31,BTC,Ipsa saepe excepturi quisquam.
22,29,2024-12-04,venta,737.62,ETH,Voluptas eveniet odio quos iste dolorem.
23,6,2024-09-29,venta,4919.70,BNB,Inventore perspiciatis optio assumenda nulla reiciendis.
24,79,2022-09-15,compra,2277.63,BTC,Eaque fugit quos culpa.
25,114,2024-01-19,retiro,972.98,SOL,Facere at velit ipsam quis aut.
26,90,2022-10-06,staking,2472.39,USDT,Inventore nam maiores aut.
27,32,2022-10-10,venta,3280.63,ETH,Mollitia nisi quos sint accusamus impedit.
28,1,2022-10-02,compra,3892.32,ETH,Temporibus voluptatem nemo cumque fugit consequuntur error.
29,29,2024-06-28,venta,4020.75,ETH,Aperiam ipsa in laborum.
30,90,2022-09-20,retiro,2323.28,USDT,Dolorum doloribus numquam nisi deserunt autem.
31,72,2023-09-09,venta,4587.43,SOL,Veniam ex nulla.
32,16,2023-10-17,staking,667.56,SOL,Ex repellendus similique voluptate consequatur eum.
33,60,2025-05-08,retiro,4939.47,BTC,Laboriosam debitis id eum quasi.
34,77,2025-01-31,transferencia,4750.25,ETH,Voluptas quos eveniet eligendi ratione facilis ut.
35,115,2023-03-30,staking,3063.65,SOL,Voluptatum debitis quisquam ad quas velit distinctio reiciendis.
36,93,2025-05-04,retiro,2134.28,USDT,Reprehenderit recusandae illum libero.
37,117,2025-01-31,retiro,2230.12,USDT,Doloribus omnis quaerat ratione asperiores.
38,21,2024-12-07,staking,2250.90,USDT,Neque modi unde sit in alias voluptas.
39,97,2025-05-17,venta,4199.47,BTC,Nisi totam autem dolorum optio cumque nostrum.
40,36,2024-10-14,retiro,2423.50,ETH,Vitae ex recusandae autem atque dolore.
41,31,2024-08-06,transferencia,2199.92,BTC,Neque nemo ipsum hic quo nihil magnam.
42,92,2023-11-10,transferencia,1173.23,BTC,Laboriosam eos ullam.
43,43,2022-10-04,transferencia,4465.24,BTC,Rerum quas expedita exercitationem.
