id_wallet,id_usu,wallet_address,crypto_balance,tipo_moneda,fecha_creacion
1,82,5c417e39609a800628eb5fd6737b12cbd36bd41f90d4790cc204c98b214c75d2,6881.62,ETH,2021-02-24
2,88,d30908fcd2d35283b9fa16fb863b763c8698c36c7af7a5ddd6a29e822b8ec6f0,3242.83,BTC,2022-05-14
3,30,a9227b9cfbcb51297fd4a6b2311657725734f73c30d1bdea63e2227d477c09a3,8218.03,USDT,2020-09-15
4,52,28db82072eb8f01aadde28cd56b3ea4559588547eab5ea4adb3125da332ad540,2677.42,ETH,2021-11-17
5,73,c1021370287a734c5a1d170d20d1e0244f62b933ea4508a19ddbcd6f4a5d9758,8763.68,USDT,2021-11-20
6,28,ec3fa0951dfe77af7aee1c37b387b19500e3f08d592e8aa907df53437b6714b5,6554.39,BNB,2020-09-12
7,83,7a9d00653d4a4cc4c5e6efb12ff255dc165419d9c0cd9d4562b3e735d0d3ed22,4588.52,USDT,2023-10-08
8,18,cfed94c1c4d50e422fcb076ce3a9d5d2c558081eb5b7b4902cbc7277fb385941,2466.28,SOL,2021-12-22
9,69,7f2d7d3b47f0b98402171e0cf9981340fb51fe33f6d435cfc8db4bbccdd99f48,2627.42,SOL,2022-11-08
10,55,fd1832e6d0fd8e35a6681d6b9e1acda513b28c75f10c3fea235158c2dc4a8279,8978.23,BNB,2020-06-20
11,47,04f9f31134160cd1833a3aeac0bcfc22f469e67cf1af263285f435398bb2ca40,2193.22,ETH,2021-04-21
12,66,e8f8dac4436ce21acabc402c8dde85a9cbf5839b554979c9c088c0f4f2cc2be1,4935.16,BTC,2023-03-29
13,15,7f1342e3e9ccefe30cae2a018b764d12f44d902ad4c7d17e6f63db85b848f744,1528.42,ETH,2025-01-04
14,88,f730435e9accf755703f886573cc666da7ee7ac14706d9d4b22835c252ca78ad,4221.61,BTC,2021-07-13
15,50,91807b5abe692c8540ac2f8df5a94419199932e605d3bbfaac62f90b50bce873,3816.20,BNB,2024-05-16
16,68,8e2967aaa7d408d24c5c66cb1e131a61f950a717c21a30089507bbbd64a164dc,2514.15,SOL,2021-05-07
17,2,e8efdac85e026bd56018bfb098a5ba696e2ca2c4dd5334b5d75568b031fda453,6802.84,BTC,2024-04-17
18,88,9de938d7de6200ebc51fd2983cf39b97acf55f99f3cb15caaf00fe07c1853516,8847.89,USDT,2021-12-22
19,99,16985a52f45f49ee08644edf37249efefc9df9c8771640e234d4ae9f7d208db7,6409.62,BTC,2023-04-05
20,38,5685898b26fc0d5f47b4fc93135aa91e8f2f3af7a740e641f6d27337a9299e46,4347.66,BNB,2025-03-22
21,1,617261485d67ffc1ba1bfe0bbe6fd0fb451c2f42d6cc5b35dbe6c791f52b433f,9538.16,USDT,2022-01-13
22,65,330773756740bb6b96335fd10db8b42f1e2cfc701333716c64efc0ad608c8732,7619.62,SOL,2023-11-03
23,14,93c77751641006f93840493eb389ac8f90c0f32df53e6d21798c298700ef5642,8705.19,USDT,2024-10-09
24,82,709403f2002ac64fd306c3c12433d1ce335c82ba6a526f32d60c1d416f55ba80,5076.63,ETH,2023-10-20
25,20,a526eddae7b4b5d5703a6d6540bdc238e7329dcd38c7ab89390c0783c5442e50,3739.14,ETH,2021-12-18
26,70,f97310c0fe644cda49d76428b67dac4508dd0e9680a57f9539ce668f1e5b3ba0,9535.00,SOL,2024-06-14
27,1,bd2765025f3067cf01f15ffe0495f0e772051fa0f062ae6189aa45d006437806,5989.45,BNB,2022-07-02
28,3,710bbd623733acee84ed88fd89deb335e352513b49b18c36fb7a737cbdaa4f26,1118.69,USDT,2023-08-27
29,40,bba3947383a4602054fecd4cb3e91a1392765af2a536b66fc149b63bbad99e82,2394.53,ETH,2022-08-30
30,73,d5a37093af022a03eecb2eea7638e5c57300ad84886219a0eeeeb0f80e876a9b,9469.49,BTC,2022-12-17
31,94,52ea7b1d44bb6a1cf65d4d7efb18fcdbfdb236ac9f0e39e9167bc864f9861d77,4859.91,BTC,2025-04-06
32,98,17e1a0cd731474df8b268bd19b856bcb6f0b1d0d731c90f2073217f43d09edbe,5327.07,ETH,2023-06-14
33,17,3443eafccd48f6db0fe58dc6afa73cf3d71db842526c2a4a8e7b198ca47efb3d,6597.51,SOL,2020-12-02
34,22,54c10a2bdabfb080466aa0c9fd92de533f2476bb47da4d38b2b0b0e57b7ca5f4,2650.57,SOL,2024-05-07
35,55,7cd28309e72c2101fcf43a87713a4498c871fcc48b0ed3f24d3d87df48d31f38,9643.63,SOL,2023-11-03
36,97,7a3afe951c5231c488fff293bcc1c861ec947b14d5a92d7007536220fea32ec2,7299.31,ETH,2023-01-14
37,92,01c669dddab924dc2139bfd79227b67b086def59ca6c2ed23533322b1edbbbc1,3117.17,USDT,2022-11-25
38,57,14e2c4987b42ea0e40985d518401256a171c9d1031b1156cd0f3289e3941691f,8996.14,BNB,2022-04-09
39,16,1d02b3f75b711a888a9156f38088ea0023ef2192f1ada77be3805242388419e7,2479.06,BTC,2021-07-11
40,44,c52a37bdf972081901d73a9c63589adf61b820f3730287612c02c6aa5037afbf,210.35,SOL,2024-04-05
41,30,68a21dafffbfe065dc59927967c51c27d8e31ba86638fcb6a628fa0bf5546ee7,5884.41,BTC,2023-07-27
42,10,635ee864f2dad246f1deb7da7c84eecbe90ab9416e1f9df810970dc1f91d0c4d,7078.41,BTC,2025-01-23
43,30,1a19a6534ea8eea1747fb19852e4c75165f24492d0c952d0f1d8ed21cb89f89d,674.01,BTC,2024-12-18
44,43,f7a6b6df3b8c2e3cb4e77cea718b44a48b04b586023019c57744f537b3177d03,708.58,ETH,2022-04-01
45,36,9dca6a9df1376b0303f09f62d9ec959129a47c675a3d3850323b3f47cdc0b551,6689.78,ETH,2021-02-01
46,70,3234944d33aa0c241e8181d27f1ac9749e9577cc24921339de76f8c17d9338ee,1323.13,SOL,2024-11-18
47,74,0e99e706594173c219176e7d82be33397c3ac4a916e7090b421b16ad1812caaf,4726.72,BNB,2021-01-20
48,53,f559bbe467605eb973b26a88939deb6b3d0fd7c74b39b2b124949d587de4ab8b,1904.11,BTC,2021-05-06
49,85,850d8d8e3125c9a3ab1e1ce7e2cd8d731f2d9ecbd2b01cfc8434ef012f908100,4310.52,BNB,2025-01-18
50,53,a752ad27bcb5674783eb2ac6da648cc845920d93eb006595dd34606bb21be5d5,4670.25,BTC,2022-02-10
51,87,fea065be249a6b87fdb599401477ef7b4ca5b53cd2581f6b0270cbb50bb0cd8d,6534.56,BTC,2021-08-31
52,8,9716645d72b62a4099a7ef9d56f646f022e1eed2e43712ccfb42c818a859515b,4026.22,USDT,2024-10-25
53,14,f47cdb2214393abcf403e35554537290f87aa76d986ff8c0d0133a73be8f8fb4,2486.57,ETH,2022-02-20
54,69,c21946936cb75b818a56c5fad7068621d03bd7ccdb632008a1362b2da4c40bb4,4486.14,BNB,2024-07-19
55,24,e729bd3dfed67a071bb1baaab9c17faacc4666c23d18864e322e1c111722e1e7,2785.46,ETH,2024-09-24
56,10,902405002ad1a4f8fb85d41a10211b036786513474196573d0c605e1e2154b98,4431.31,SOL,2020-11-11
57,13,5e47b093c2f82e74c3d1d7383d1cd45d79fcb75f5360a48115c1e6be2a488f5e,505.89,SOL,2024-10-03
58,2,e81ba1a19c3c1e53bc008f62d2d0abdc8d03f68fc99f5dd196214f5f5fb01031,9689.96,ETH,2025-03-10
59,22,408b8408175a71e6037057d5b83170977c4163eac1c88f4d8edfa9077a051a0a,4064.15,BNB,2024-04-28
60,28,880baabd9d8d19a75ce5ee8ff1fc8ceb20e6843814030450b3edb334c0e34662,8646.51,BTC,2023-01-05
61,22,26c8844220e3a5c7efc582e887f567c7aa44e3f2026837b00ae5f2d9fbf2d245,3789.74,BNB,2023-10-05
62,34,4d53476ae780fe9d8dba50a67507888407475ffe870c947f365eb9188bd8d17a,9265.18,BNB,2020-06-01
63,37,d9f0407029a484af1996de03e5cbe046265e793b7dac174a6255a24913847552,4230.08,SOL,2025-04-23
64,85,4ded09d940df785b6b24e3550aefbb20b52e914316df09faf9c7ec93c901f024,7184.09,ETH,2023-12-30
65,25,da118a76ac8baf0dafe5ffcd8892c0dc315426573e52d12ec627279bc698f675,2967.09,BTC,2020-12-07
66,75,5256d36c3607210bd518e3ac1db239a1912bcfa5deadf9aa6e865964a1826b79,7357.37,BTC,2020-11-26
67,96,d0a7e1dfd49aa16e6a077b61f87f672f25b3079af41c8e787b6ad945486688df,3136.05,BTC,2020-12-23
68,75,ec3152388fdb28c35d993726866f7724654551d2323f6ca0872ccbdb125a1318,4767.89,SOL,2024-05-28
69,21,667745d388b8e25fc975952c7565bf9ef5a99c5d385684ac437c50e632ca1780,568.81,SOL,2023-11-14
70,11,7c6fdcba67aba60e6adfc6617072a271a9649c457c9bdfe1884df9b75d898fcc,8513.43,BTC,2021-07-17
71,77,1252e2438e62500c4b8d628595ee5754936d539b6c3365489f26eccd9e688b07,679.62,ETH,2023-12-20
72,52,2335793860f9b3958d6c873906cd62bb8b65b502ffb6964e318bef3bf4dfcefc,1198.87,SOL,2023-08-24
73,32,4e8d28db5008bacad73bdc57a8645fa1f4f5b89c33a8c5675411506c50ffaa95,5789.19,BTC,2023-08-08
74,80,4f8d9dd154acc085ffc203f35d05d9f68b3cdd3917a46089e409137f9ac29bfb,819.84,SOL,2024-12-23
75,73,b8fb06750f00671d78b8fb897b8063eb765889ffe40a8de41e80dd5ef47c3289,5227.83,USDT,2023-05-08
76,27,dbfe29fc08ef6d0f176cd9ed26b35324e4ca9332dcd06bdf06b435e4f13ed753,6697.26,USDT,2024-12-17
77,31,86cdb297c829cdbdab4435fde6d4c55e2d4897747f72e3447d8e535ca0e6c0fc,2656.15,ETH,2021-06-22
78,86,ff495cf6da6e7e4a1441309c2c3dd159143b08b023b50cb73c68942802b7a248,6455.01,BNB,2022-04-14
79,41,63aef42b82122994d24f06c4aa1e3b39d08c824d65e2f270ce9952ea217038f7,9290.18,BTC,2020-08-01
80,2,7e50b2bf55e9807d2d6140874b54d766c191d39f3edf791747bbcaa1d9f64404,4582.86,SOL,2024-04-30
81,13,8a395adf92046eb0e064a5e1a70a56d0568b064282a35e603de1f95c8eaf9e5d,732.62,ETH,2025-01-08
82,65,dfae70b2ee387a4e0848608b9cc4959888f1f10a5a476683995828fb2488965b,2652.01,USDT,2023-08-14
83,9,cef9ad36fc62922b1a4191ff01380535a1941f14c5cb1845216ccfd4e9089146,8792.70,USDT,2022-06-30
84,37,bf869abb9ade38678a22f00be8487eca3a897930e708716c387ace287a260bfc,1577.48,SOL,2021-09-16
85,91,9fae7a7fa5e4039b84332273711a2ede22d2f34499d71fb6627d917ee0ae1590,3025.18,SOL,2021-05-08
86,2,464dda180da4b0af377e3be1b03258a1c5921bbfbe2d50ffe97a869ec114554b,6678.64,SOL,2023-12-16
87,39,9241b83eb3df57911bbf8aeec1a793b227e81ccd53ae3043722f5842b4ccfaec,9317.56,BTC,2020-07-10
88,18,ee0ffdd922196902a70e154f64e146ad06a0fc3683fba7f1c776b591f99648c6,2644.67,BTC,2020-12-18
89,96,8ffa55e6e75fd821d7ae4562a68a283a9400e5f709ca950e1b4f5f18b72cd60b,5532.24,USDT,2020-09-04
90,37,5ec6dade7c65d961cbd7be50d9dca40305888cd5055f1a676b506deb97751860,6048.30,USDT,2020-10-21
91,27,2b02aaabddd9186f77593ad9ee3a452799614c0e0a150c55fb007c0642eca22f,6874.97,USDT,2020-10-07
92,65,bdaf6d0ae739d08891443730435dc1af5da77f2fc35c4c937df1513e0711a90c,4885.32,BTC,2022-05-21
93,12,b0e972f36c166ea238e142b503db6c97879f1f0a79efc7c286882a4191e9177d,6342.85,USDT,2020-11-14
94,6,8d92a84cd6fe2e841d5cfd284170b1796d7813ab2d3a53163763c8fe0ccc3440,35.47,ETH,2022-11-07
95,82,54c6a64a55f8899b76918b476ced91aecd8d819668412ff2df13cef344ac1218,9797.98,ETH,2025-04-16
96,95,347946c2096fd30ba358e0aa1ec68d106c7bfe7ee38b194e41fade898ea327b8,4418.36,BNB,2023-02-13
97,72,9a2cf4dc243ae15cf99bd1c7bd2fdce28fb30f33ebbd2b796789f4dcd08d672c,96.71,BTC,2021-08-11
98,89,075cf6d518a4f927ae9c778eccc8b3d1f9791d630443b8a594594b872b25b1ba,9039.29,SOL,2024-10-28
99,5,ba954984853734d6bf0bcdd86ee3c6c89536e08dd6e564e32efd91e20de0f899,8345.95,SOL,2022-12-12
100,71,c3db76d60e8010d44e3718a17815d5c3d2db543bffb5b1bd19a48dda5f06ea05,1480.95,ETH,2025-02-15
101,6,a7be7f53514fe18a04b622baa2657665b0fe411ba24d95c09fcbb677cb381808,3082.59,BTC,2021-11-18
102,46,05a4a693d9a2bdee348a859adac4dfd12ea7efdbb15785801cb855b0ddd74a9d,2100.77,ETH,2024-01-10
103,86,f8c76b9f6ae67ae285e7cdcb8952b58fbee016f189d1ccfef05a0089ee926b15,1027.95,SOL,2020-10-15
104,53,6993ca1e034f6220b2e45f4b3a719c66f7bce1c34137343545a8e93a20fd2b7d,9738.37,ETH,2023-08-20
105,31,effa4c3bc8062e1427a18b6533033434a0f3277fd400a87f819ae08e6e4647e4,8646.06,ETH,2023-02-07
106,53,73335d94be8fe21dc39025987f997b09aab13e2dc278c38638c8d06f3d2b37ef,247.87,USDT,2023-11-12
107,53,32213e92025ec88f878fa326ccf08c6e7604b18e00fa5a38017912c094821f55,8022.35,ETH,2023-08-05
108,35,89585acbbc6f91d9113ffc82cca111d01b0fdd331f667600a9e026100387eec7,1591.99,BTC,2024-12-19
109,49,4aa2d2b27ed7b69492fb7394309103da989a3f22dd6548caa847d1167533d4e3,8721.67,BNB,2022-04-23
110,29,b21956e2dead91cded358b9e907496c5fb9cc0f1bd1eebd12818f23590579001,1995.74,BNB,2021-08-14
111,45,edd422b8d69f3ad00e28c38341cac9550645d62515e58ea459312cf3b4f85472,3051.92,ETH,2020-11-18
112,29,6728cbdfd1975a8451d4b6fce5de390e2ba0e2f574c14b1129df571d4fc96595,236.65,ETH,2023-12-08
113,52,c887ef4b204cee82d85b7c16507d20d83baf3a86bdc936d6e49540147d18c59b,3282.63,BTC,2021-07-13
114,99,d56013b8caf3714a14d2ef49af3bccbff8e9cb281a21031c3d5fbea4d45882b4,2791.26,SOL,2022-07-24
115,52,135c1634cdc7a3b170a8c60fa87547899ddf09d0eb4116066260d244ddd0127a,6795.18,SOL,2021-01-23
116,43,3c3d75c702eb68b10382094f47fc9786084c8b75207c3573fe731b8866320f61,9392.37,BTC,2023-07-19
117,34,9881e4896942c1dc6d45ee32343b9827024eca777fe69b9a3fbeca08c852de9f,1785.69,USDT,2022-01-04
118,5,886a98afd5684988a6bec3d10de18a075e3b0d9c207011de2684bf3406a0249e,1084.03,BNB,2023-08-07
119,45,45a520762fd85bab03e264d6921a977b4a3ee5471d05dd8b1563e42a8b911e68,7285.45,USDT,2020-09-22
120,56,f8a260162a53b628ddaf1dac81bd118eed5c407e5dfce82c9c24ab26409967c4,6062.09,SOL,2021-12-28
